Feature,Importance
MM263_value_578,0.019044173596536457
MM263_value_410,0.01869347473944361
MM263_window_5_max,0.013793418883473154
MM263_value_598,0.013686933935706223
MM263_value_548,0.013428787523485442
MM263_value_557,0.01318115008858226
MM263_value_566,0.012996318026206648
MM263_value_544,0.012989232033866625
MM263_value_484,0.012965145975370235
MM263_value_530,0.012952406600357496
MM263_value_468,0.01290387356980016
MM263_value_599,0.012787035979614707
MM263_value_533,0.012728099127875843
MM263_value_461,0.012545418776311084
MM263_value_411,0.012267450432875901
MM263_value_514,0.01207385216863547
MM263_value_547,0.007471339820076947
MM263_value_577,0.007204636503821811
MM263_value_564,0.0070884876164665
MM263_value_585,0.007088320108984675
MM263_value_531,0.006866479349435451
MM263_value_546,0.006855474422536912
MM263_value_478,0.006845368066431922
MM263_value_540,0.006843136089429195
MM263_window_4_max,0.006758353891504521
MM263_window_5_mean,0.006747263978471502
MM263_value_580,0.006709198638113982
MM263_value_545,0.0067055585451540455
MM263_value_582,0.0067046705203460235
MM263_value_576,0.006699047340615971
MM263_value_556,0.006689214070963362
MM263_value_567,0.0066734828329288575
MM263_value_408,0.0066541428779703215
MM263_value_466,0.006645574763217079
MM263_window_1_mean,0.006642871574599558
MM263_window_4_mean,0.006639000688132869
MM263_value_456,0.006627055400154675
MM263_value_434,0.00660078463560657
MM263_value_550,0.0065809037785032444
MM263_value_402,0.00658010277164239
MM263_value_438,0.0065694499434954924
MM263_value_488,0.006534553511538944
MM263_value_474,0.006531200206836964
MM263_value_538,0.006509832502518686
MM263_value_493,0.006466619131027624
MM263_value_421,0.006456976279795195
MM263_value_592,0.006448835287108525
MM263_value_510,0.006441965834422356
MM263_value_368,0.006396692134270659
MM263_value_268,0.006391850962189195
MM263_value_558,0.006335292509994879
MM263_value_501,0.0063145804310479605
MM263_value_439,0.006309937114862563
MM263_value_559,0.0063017719353170845
MM263_value_412,0.0062777781733927285
MM263_value_390,0.006267563007326699
MM263_value_574,0.006245516236111228
MM263_value_505,0.006245311394135562
MM263_value_552,0.0062366959126523855
MM263_value_448,0.00622508034665826
MM263_value_520,0.006208344509530079
MM263_value_403,0.006195112358061853
MM263_value_364,0.006167188208953084
MM263_value_561,0.006143028450902786
MM263_value_502,0.00613133734027468
MM263_value_399,0.006098152796112097
MM263_value_596,0.006077318863875385
MM263_value_464,0.006054804059948313
MM263_value_265,0.00603386358113311
MM263_value_506,0.00599893783029757
MM263_value_373,0.0059964825015660795
MM263_value_337,0.005979426675281733
MM263_value_314,0.005963345686961266
MM263_value_21,0.005919486093700191
MM263_value_305,0.005905216423919915
MM263_value_251,0.005782516312254841
MM263_value_328,0.005680589442445547
MM263_value_417,0.005657575875852528
MM263_value_129,0.005651293786438149
MM263_value_55,0.0055051926522266745
MM263_value_384,0.005457719632551535
CM861_window_2_std,0.004743050939214351
MM263_value_551,0.0015215799183976094
MM263_value_590,0.0012273133895249618
MM263_value_513,0.001189847274439388
MM263_value_471,0.0011136160868527364
MM263_value_588,0.0011053388011008696
AN423_window_3_mean,0.0008651254792821497
MM263_window_2_std,0.0008543953726356814
MM263_value_45,0.000822815870497231
P_864_value_384,0.0008030215614857692
MM263_window_3_std,0.0007810098894884683
AN423_value_470,0.0007656128705712584
P_864_value_146,0.0007602999874562418
MM263_value_581,0.0007483765764560983
P_864_value_54,0.0007269970407531052
P_864_value_43,0.0007231814308417416
MM263_value_413,0.0006976706280621259
AN423_value_276,0.0006822870052188464
MM263_window_5_std,0.0006710334424049389
MM263_value_573,0.0006677078034703889
P_864_value_58,0.0006637628978208047
RH1712_value_68,0.0006585515142373196
MM263_value_492,0.0006516575728517789
P_864_value_35,0.000626219077111021
MM256_value_1,0.0006252815153813431
MM263_value_541,0.0006179975763123783
MM263_value_332,0.0006149919373269278
P_864_value_23,0.0006096864512804307
MM263_value_489,0.0006094793105306832
RH1712_value_573,0.0006068444935476462
AN423_value_37,0.0006059101663109804
RH1712_value_78,0.0006038835905572739
MM256_value_283,0.0006019260965996618
AN423_value_595,0.0006016246501933395
RH1712_value_528,0.0005915657835392381
RH1712_value_426,0.0005898130016157494
P_864_value_30,0.0005806125197989614
AN423_window_5_mean,0.0005707976792486193
